k	(danh từ) k.
kerb	(danh từ) (từ mỹ, nghĩa mỹ), (từ lóng) thị trường chứng khoán chợ đen.
kerb drill	(danh từ) quy tắc an toàn khi băng qua đường.
kerb market	(danh từ) (từ lóng) thị trường chứng khoán chợ đen; việc buôn bán chứng khoán chợ đen.
kerb-crawling	(danh từ) sự rà xe sát lề để kiếm gái.
kerb-stone	(danh từ) phiến đá lát lề đường.
kerb-stone	(danh từ) (từ mỹ, nghĩa mỹ), (từ lóng) thị trường chứng khoán chợ đen.
kerb-stone	(danh từ) tay buôn chứng khoán chợ đen.
kerchief	(danh từ) khăn vuông trùm đầu (của phụ nữ).
kerchief	(danh từ) (thơ ca) khăn tay, khăn mùi soa.
kerchiefed	(tính từ) có trùm khăn vuông.
kerchieft	(tính từ) có trùm khăn vuông.
kerf	(danh từ) khía, rạch, vết cưa.
kerf	(danh từ) đầu cưa, đầu chặt (của một cây bị đốn xuống).
kerfuffle	(danh từ) sự ồn ào náo nhiệt.
kermes	(danh từ) (động vật học) sâu kemet.
kermes	(danh từ) phẩm kemet (chất đỏ lấy ở sâu kemet, làm thuốc nhuộm).
kermes oak	(danh từ) (thực vật học) cây sồi kemet (ở nam âu và bắc phi; thường có sâu kemet).
kermesite	(danh từ) (khoáng chất) khoáng chất màu đỏ; keemezit.
kermess	(danh từ) chợ phiên.
kermis	(danh từ) chợ phiên.
kern	(danh từ) (sử học) lính bộ ai-len.
kern	(danh từ) người nông dân; người quê mùa.
kerne	(danh từ) (sử học) lính bộ ai-len.
kerne	(danh từ) người nông dân; người quê mùa.
kernel	(danh từ) (thực vật học) nhân (trong quả hạch).
kernel	(danh từ) hạt (lúa mì).
kernel	(danh từ) (nghĩa bóng) bộ phận nòng cốt, bộ phận chủ yếu.
kerneled	(tính từ) xem kernel.
kernite	(danh từ) (khoáng chất) kecnit.
kerosene	(danh từ) dầu lửa.
kerry	(danh từ) loại bò sữa island.
kersey	(danh từ) vải len thô kẻ sọc.
kersey	(danh từ) (số nhiều) quần vải len thô kẻ sọc.
kerseymere	(danh từ) vải len mỏng sọc chéo.
kerseymere	(danh từ) (số nhiều) quần len mỏng sọc chéo.
kerygma	(danh từ) (số nhiều kerygmata) lời tuyên bố cứu vớt nhờ tác dụng của chúa giêxu.
kerygmatic	(tính từ) (thuộc) lời tuyên bố cứu vớt nhờ tác dụng của chúa giêxu.
kestrel	(danh từ) (động vật học) chim cắt.
